Date,Core-Dividend-Growth-ETF,MSCI-USA-Momentum-Factor-ETF,SP-500-Value-ETF,Asia-50-ETF,MSCI-USA-Quality-GARP-ETF,MSCI-EAFE-Min-Vol-Factor-ETF,Edge-MSCI-World-Momentum-Factor-UCITS-ETF-USD-Acc,MSCI-USA-Min-Vol-Factor-ETF,Edge-MSCI-Europe-Momentum-Factor-UCITS-ETF-EUR-Acc,MSCI-USA-Quality-Factor-ETF,Edge-MSCI-Europe-Minimum-Volatility-UCITS-ETF-EUR-A,Edge-MSCI-World-Minimum-Volatility-UCITS-ETF-USD-Ac,MSCI-Global-Min-Vol-Factor-ETF,MSCI-USA-Equal-Weighted-ETF,Russell-2000-ETF
31-12-2013,,2.98,2.32,-2.25,,0.66,,1.24,,2.42,1.703343,0.48366,0.26,2.68,1.97
31-01-2014,,-2.25,-4.0,-6.23,,-2.6100000000000003,,-2.9899999999999998,,-4.14,-1.13348,-2.742531,-2.97,-3.4000000000000004,-2.77
28-02-2014,,6.63,3.82,2.9,,4.88,,4.33,,4.84,4.987745,3.945013,3.7,4.67,4.7
31-03-2014,,-3.39,2.55,0.37,,0.32,,0.82,,-0.49,0.009854,1.04733,1.02,0.69,-0.68
30-04-2014,,-0.88,1.2,1.2,,2.21,,1.39,,0.92,2.346863,1.492294,1.45,0.57,-3.87
31-05-2014,,3.98,1.25,4.17,,2.32,,1.15,,2.15,3.091636,1.474323,1.59,2.37,0.8
30-06-2014,,2.07,2.04,1.16,,1.51,,1.3,,0.59,0.782334,1.664734,1.71,2.12,5.32
31-07-2014,-2.59,-1.08,-1.54,4.35,,-0.44,,-1.53,,-0.83,-0.504744,-1.133386,-0.66,-1.4,-6.04
31-08-2014,4.14,4.64,3.59,-0.14,,0.58,,4.06,,4.51,1.861946,2.968508,3.08,3.98,4.96
30-09-2014,-1.07,-0.61,-1.76,-7.72,,-4.02,,-0.79,,-1.04,0.368371,-2.348545,-2.32,-1.57,-6.03
31-10-2014,2.96,2.31,1.88,3.07,,1.02,,4.3,,2.88,-0.239127,2.9929,3.07,2.42,6.6
30-11-2014,2.96,3.75,2.27,0.37,,0.55,3.164097,3.41,,2.37,3.264242,2.039982,1.67,2.64,0.09
31-12-2014,0.41,-1.05,0.54,-1.62,,-1.5,-1.003835,0.09,,-0.35,-0.50946,-0.392103,-0.5,-0.31,2.87
31-01-2015,-3.66,-0.6,-4.45,2.81,,3.71,-0.218055,-0.49,,-1.69,9.307542,1.416441,1.47,-2.84,-3.22
28-02-2015,5.33,5.44,5.48,1.89,,3.07,5.224033,3.65,5.354457,6.02,4.299862,2.967712,2.72,5.82,5.95
31-03-2015,-1.72,-1.16,-1.5,1.14,,-0.59,-0.88896,-0.74,3.144611,-1.57,1.469972,-0.615869,-0.15,-1.44,1.74
30-04-2015,0.38,-0.88,1.49,8.59,,3.66,0.187133,-0.58,-1.581636,0.3,0.151792,1.053026,1.77,0.88,-2.56
31-05-2015,1.02,3.2800000000000002,0.72,-2.8899999999999997,,-0.97,1.934277,1.0699999999999998,2.632673,1.44,1.629974,-0.481458,-1.15,1.34,2.29
30-06-2015,-2.3800000000000003,-0.27,-1.9800000000000002,-3.12,,-2.04,-1.648438,-2.23,-4.250185,-1.97,-4.599427,-2.199594,-2.19,-1.9,0.76
31-07-2015,1.94,3.87,0.41,-6.33,,3.46,3.191153,3.94,5.264289,2.92,5.016322,3.199185,1.95,1.98,-1.16
31-08-2015,-5.81,-5.96,-5.99,-10.2,,-5.47,-6.61888,-4.49,-7.881322,-5.37,-6.834571,-4.365546,-4.88,-6.01,-6.279999999999999
30-09-2015,-1.44,-1.93,-2.79,-2.09,,-2.6,-3.692859,-0.57,-2.749416,-1.23,-1.799552,-1.249034,-1.29,-3.87,-4.9
31-10-2015,7.66,7.26,7.3,9.92,,6.45,6.911886,5.96,6.073977,8.59,7.965533,5.94677,5.88,7.06,5.65
30-11-2015,0.11,0.51,0.5,-3.69,,-1.77,0.139461,-0.21,2.862886,0.41,2.610153,-1.050168,-1.39,0.3,3.28
31-12-2015,-1.31,-0.07,-1.69,-0.85,,1.3,-0.013072,0.51,-3.28065,-1.64,-3.532847,0.753283,0.69,-2.71,-5.01
31-01-2016,-3.23,-3.7,-4.9,-8.45,,-3.62,-4.307266,-1.41,-4.07064,-4.48,-3.224658,-1.697125,-1.85,-6.43,-8.79
29-02-2016,0.68,-1.32,0.53,-0.28,,0.67,-1.300851,1.07,-2.442862,0.53,-1.760857,2.082799,1.97,0.86,0.0
31-03-2016,6.15,5.25,6.84,11.74,,5.17,5.476649,6.01,1.320938,6.34,0.590329,5.626656,5.91,8.05,8.0
30-04-2016,1.25,-0.66,2.09,-0.8,,2.02,0.207457,-0.45,-0.585793,-0.35,0.908966,1.023616,0.67,1.56,1.58
31-05-2016,1.57,2.45,0.89,-1.04,,-0.87,2.00638,1.58,4.155983,1.01,2.835567,-0.18473,-0.28,1.54,2.25
30-06-2016,1.04,2.98,0.88,4.23,,-0.27,2.715601,4.56,-1.498309,0.51,-2.130029,4.221811,4.48,-0.05,-0.05
31-07-2016,3.01,2.67,2.7,5.41,,2.82,2.729399,1.47,3.125385,3.03,1.813335,1.929214,1.97,4.53,5.97
31-08-2016,0.04,-1.47,0.58,3.96,,-2.31,-2.730453,-1.96,-1.250578,-0.19,-0.773412,-2.891905,-2.44,0.2,1.76
30-09-2016,-1.11,0.47,-0.38,2.22,,1.67,0.713556,-0.67,1.985125,-0.11,-0.09367,0.128205,0.24,0.2,1.12
31-10-2016,-1.41,-1.97,-1.54,-1.15,,-4.64,-2.994116,-2.8,-2.536034,-2.04,-3.171178,-3.382959,-2.99,-2.55,-4.73
30-11-2016,4.82,-0.61,6.28,-1.24,,-3.59,0.447994,0.63,0.61147,2.95,-1.590884,-1.488927,-1.64,5.11,11.15
31-12-2016,1.86,1.03,2.52,-2.03,,1.58,1.443477,2.37,4.233766,2.01,4.413483,2.211115,1.82,0.96,2.78
31-01-2017,1.18,3.33,0.65,6.56,,2.74,3.560657,1.31,0.915874,1.22,-1.026471,1.824252,1.73,2.45,0.4
28-02-2017,4.72,3.69,3.84,2.65,,1.99,2.36278,4.52,3.419584,4.69,3.933529,3.299251,3.38,3.2,1.92
31-03-2017,-0.06,2.13,-1.21,2.9,,2.02,2.123936,0.1,2.233736,-0.03,2.885947,0.382407,0.67,-0.14,0.14
30-04-2017,1.05,2.52,-0.08,2.17,,2.01,1.868953,1.45,1.170195,0.55,1.508822,1.039021,1.13,0.84,1.1
31-05-2017,1.04,4.81,-0.33,4.69,,5.57,4.215204,2.05,1.091373,1.56,3.651423,2.927688,2.91,0.68,-2.03
30-06-2017,1.34,0.38,1.88,1.9,,-0.68,0.217322,-0.41,-1.83164,0.58,-2.933234,-0.59723,-0.44,1.23,3.45
31-07-2017,1.15,3.41,1.36,5.48,,1.93,3.104867,2.0,0.166553,0.93,-1.006207,1.906437,1.85,1.47,0.75
31-08-2017,0.44,1.48,-1.17,1.06,,0.7,1.443821,0.82,-0.01229,0.55,-0.125889,0.839807,0.86,-0.77,-1.27
30-09-2017,2.63,2.86,3.27,0.03,,0.11,2.528745,0.52,4.585548,2.65,1.523936,0.192653,0.14,2.71,6.24
31-10-2017,2.09,4.98,1.14,5.54,,0.96,4.530417,1.93,3.215922,2.86,1.935631,1.410961,1.58,1.16,0.84
30-11-2017,4.22,2.79,3.37,1.56,,1.75,1.873927,3.12,-4.018096,3.72,-2.04093,2.809059,2.5,3.75,2.87
31-12-2017,1.05,0.09,1.66,2.34,,0.74,0.283357,0.2,-0.239091,1.11,0.580363,0.159887,0.59,1.12,-0.39
31-01-2018,4.9,8.19,4.14,8.71,,3.26,8.042529,3.49,3.151294,4.57,0.211971,3.003871,3.35,4.51,2.62
28-02-2018,-3.84,-1.43,-5.49,-5.42,,-2.61,-1.634597,-4.21,-3.498091,-2.83,-3.197371,-4.028942,-3.87,-4.18,-3.87
31-03-2018,-2.71,-3.66,-2.06,-1.05,,-0.15,-3.349789,-0.25,-2.085589,-1.32,-0.250197,-0.169644,-0.11,-0.61,1.29
30-04-2018,-0.06,0.77,0.49,1.25,,1.31,1.09942,0.06,4.563623,-1.34,3.791995,0.140724,0.08,0.15,0.87
31-05-2018,1.57,3.49,0.25,-2.18,,-1.23,2.834042,1.1,1.709407,2.75,0.96887,0.16381,0.18,1.63,6.07
30-06-2018,0.17,-0.16,0.62,-4.64,,-0.78,-0.392622,1.68,-0.888153,-0.05,0.234961,0.624305,0.29,1.0,0.7
31-07-2018,5.14,1.86,4.03,0.02,,2.27,2.213185,3.33,2.438596,3.75,2.485303,3.157616,3.08,2.95,1.74
31-08-2018,2.8,5.85,1.35,-0.24,,-0.74,4.466806,3.08,0.098715,3.69,-0.78487,1.54705,1.56,2.36,4.31
30-09-2018,0.64,0.92,0.36,-0.27,,0.64,0.950555,1.23,0.979241,1.09,0.267502,1.201113,1.11,-0.12,-2.4
31-10-2018,-5.37,-9.8,-5.35,-11.9,,-6.16,-9.880936,-4.03,-7.118831,-7.49,-3.755663,-4.58961,-4.69,-7.73,-10.87
30-11-2018,3.88,1.37,2.62,4.25,,1.58,1.41671,3.71,-4.144122,1.01,0.391409,2.863413,3.12,2.57,1.58
31-12-2018,-8.38,-7.7,-9.48,-2.01,,-2.97,-7.409962,-7.12,-4.815379,-8.72,-4.246297,-5.575692,-4.98,-9.9,-11.88
31-01-2019,6.21,6.66,8.55,7.96,,4.5,6.328713,5.76,6.279288,8.39,4.669501,5.160339,4.95,10.1,11.24
28-02-2019,3.8,3.33,2.24,1.45,,1.81,3.674373,3.77,3.828086,4.33,3.050743,3.02268,2.73,3.92,5.19
31-03-2019,1.07,2.16,1.06,0.56,,1.47,2.579556,2.68,3.866879,2.58,3.33005,2.081017,2.06,0.62,-2.1
30-04-2019,3.81,2.31,4.11,3.18,,-0.08,3.200851,2.18,1.322235,3.78,1.707131,0.982522,0.93,3.76,3.39
31-05-2019,-5.82,-2.31,-7.58,-9.53,,-1.13,-3.647257,-1.63,-1.989852,-6.63,-1.823394,-0.980893,-1.08,-6.8,-7.78
30-06-2019,7.02,6.21,8.06,8.27,,4.17,6.30463,5.02,4.979907,7.17,2.938621,4.766932,4.3,7.48,7.06
31-07-2019,1.39,1.82,1.75,-1.62,,-0.94,0.987081,1.64,0.158142,1.33,-0.052161,0.449656,0.22,1.08,0.57
31-08-2019,-1.27,0.26,-2.6,-5.67,,-0.08,0.044007,1.66,0.496581,-1.7,1.330055,1.699712,1.43,-3.15,-4.94
30-09-2019,2.99,-1.21,3.71,3.83,,1.77,-0.808803,0.89,2.166008,1.73,2.74608,0.998496,1.13,2.89,2.07
31-10-2019,1.94,0.61,2.64,4.27,,2.48,1.230166,-0.17,0.794014,2.24,0.133719,0.855507,1.05,1.31,2.63
30-11-2019,3.38,3.35,3.84,-0.06,,0.29,2.566101,1.31,2.80146,4.43,1.814374,0.560564,0.07,3.78,4.11
31-12-2019,2.64,1.78,3.1,9.0,,1.54,2.4647,1.88,1.997677,2.92,1.257493,1.583638,1.85,2.46,2.88
31-01-2020,-1.54,3.67,-2.64,-4.38,,0.28,2.600987,2.32,1.915219,-0.67,1.691042,1.934455,1.4,-1.16,-3.21
29-02-2020,-9.48,-7.36,-9.52,-2.25,-7.78,-8.13,-7.18337,-8.12,-6.257033,-8.38,-7.791922,-8.051525,-7.64,-8.68,-8.42
31-03-2020,-12.37,-11.41,-15.25,-9.08,-10.19,-9.26,-10.213479,-11.93,-9.370212,-11.43,-10.598837,-9.961135,-10.24,-18.53,-21.73
30-04-2020,11.59,11.75,10.7,6.05,14.21,4.14,10.173003,9.29,6.643239,12.36,4.821676,7.24273,7.41,13.87,13.76
31-05-2020,3.63,5.95,3.17,-0.93,6.78,1.91,5.735899,4.35,5.162147,5.57,2.075533,2.74596,2.34,6.31,6.53
30-06-2020,0.5,4.35,-0.95,10.71,4.53,1.16,4.598356,-1.05,2.628605,0.24,1.355517,-0.262338,-0.08,1.59,3.49
31-07-2020,4.17,6.82,3.65,7.67,6.01,1.32,6.645861,4.48,1.367136,4.82,0.138118,3.884816,3.9,5.16,2.76
31-08-2020,4.95,9.65,3.57,2.78,7.79,3.59,7.711551,2.87,1.763576,6.98,1.135282,2.462978,2.23,4.53,5.65
30-09-2020,-2.63,-3.88,-2.42,-1.46,-3.23,-1.52,-3.243004,-1.64,0.911633,-3.15,-0.100733,-1.662583,-1.4,-2.21,-3.36
31-10-2020,-2.24,-4.19,-2.02,4.52,-4.33,-4.01,-3.558957,-3.45,-3.379823,-2.79,-4.50318,-3.220322,-2.63,-0.51,2.09
